Week,Forecast_Units,Forecast_Lower,Forecast_Upper
2010-02-01,47947167.73713835,45036399.84902283,50766842.60747872
2010-02-08,49218668.993808344,46313274.04882372,51921117.64389149
2010-02-15,47568804.96453576,44607707.16804589,50356106.75476044
2010-02-22,45527114.343326055,42470944.23776922,48548039.55399386
2010-03-01,45753111.620221235,42974121.68684156,48548286.71204347
2010-03-08,47030777.36344803,44203093.40879799,49746552.28377202
2010-03-15,44319946.5518135,41557552.79471255,47275410.28196274
2010-03-22,43947929.162729986,41251548.34869569,46802535.00976616
2010-03-29,47602787.7997482,44822782.19955271,50323930.75471507
2010-04-05,47760758.23262303,44896567.95185216,50688308.98202695
2010-04-12,45998128.81480947,42944260.480221376,48961962.6252519
2010-04-19,44608559.4158119,41789413.74075238,47370457.01614264
2010-04-26,44666567.88709652,41929328.528058685,47552537.936784
2010-05-03,46764146.25242423,44008543.77514855,49574508.41515187
2010-05-10,45932967.93775868,42981069.235424355,48563000.78746436
2010-05-17,44831900.89865175,42246402.565258704,47560711.99510112
2010-05-24,47248834.34844823,44580403.92485274,49980376.54998566
2010-05-31,48673890.13512677,45773060.42972176,51432827.246507704
2010-06-07,48256642.86861419,45336246.04466827,51122307.53751837
2010-06-14,46998569.34088296,44263294.91998742,49771445.64149968
2010-06-21,46361151.90188185,43688955.624394596,49227136.16363769
2010-06-28,47908243.86140479,45062136.88971563,50586672.95583572
2010-07-05,48000580.381861486,45276024.750437774,50873133.73996289
2010-07-12,45672104.27516196,42868272.53026924,48502917.1346831
2010-07-19,44052743.24163455,41342944.15532975,46856063.182907216
2010-07-26,44923063.29552266,42279367.11854152,47626322.995270886
2010-08-02,46856252.76564121,44144090.85800729,49787458.43517377
2010-08-09,46779131.19507705,43852475.24070516,49749729.62703792
2010-08-16,46256549.88094159,43640336.749449715,49247164.734508455
2010-08-23,46486849.574335165,43621319.504588604,49298098.430650316
2010-08-30,46263972.16008856,43453407.52890411,49047921.77949808
2010-09-06,45733971.70048722,42939797.450572856,48613510.455737896
2010-09-13,43290559.73333058,40557283.45392215,46235361.20159419
2010-09-20,41534402.78150604,38680649.06583573,44320236.139069445
2010-09-27,43560623.747149505,40791113.137678206,46311146.23108314
2010-10-04,45235817.71929271,42391220.949375704,47909787.9655895
2010-10-11,44560953.02672225,41692182.01044071,47210506.70929187
2010-10-18,43327820.86600643,40456728.734792165,46124773.80965381
2010-10-25,45219001.58275878,42215238.59850881,47964586.31380396
2010-11-01,47530907.55691482,44765476.515374646,50212947.23778524
2010-11-08,44798486.2570754,42109687.46798957,47700949.73243068
2010-11-15,50093653.69050267,47396367.99579217,52846683.00242421
2010-11-22,61076748.27614606,58114725.64441216,63826518.105084226
2010-11-29,54096556.37324867,51309245.364775196,56869591.20530784
2010-12-06,49563591.37923897,46532621.73630404,52411785.18648277
2010-12-13,68289999.8456705,65525854.02617136,71076523.2744782
2010-12-20,72004590.39275347,69277164.73646224,74901376.78683108
2010-12-27,49944707.032833524,46924445.33887113,52955604.369568236
2011-01-03,40019694.084487356,37442090.09413275,42973802.41364951
2011-01-10,42957118.98964183,40144609.48709678,45618716.72266977
2011-01-17,39813396.10001541,36928667.19799024,42479116.82496259
2011-01-24,40032668.8598146,37246053.524697445,42699844.287226155
2011-01-31,46689481.17600549,43869840.380638406,49736646.034378685
2011-02-07,48993358.72654745,46153998.62773317,51643287.27971666
2011-02-14,47583207.78124866,44935234.80211844,50483779.890768595
2011-02-21,45531261.460947864,42603143.26963594,48231633.364618175
2011-02-28,45174236.87366695,42481467.17234476,48051932.831693664
2011-03-07,46792463.074175715,43939390.69161014,49707654.29329944
2011-03-14,44685784.79691918,41695023.428168505,47397399.886558
2011-03-21,43314252.28469044,40382623.37920702,46096190.37014098
2011-03-28,46853162.36111061,44094003.6928397,49691837.52904437
2011-04-04,47839028.6025633,44980058.669003166,50662093.26914845
2011-04-11,46116993.57753934,43057464.121739306,48970376.335356
2011-04-18,44705368.87161723,42134764.10463072,47409407.10614068
2011-04-25,44317145.34946793,41548452.98922235,47215087.449496545
2011-05-02,46395278.42828158,43563282.233507246,49161944.06656669
2011-05-09,46266576.48191428,43269421.27231888,49098414.74160292
2011-05-16,44700150.347882815,41931979.91531838,47746702.93454111
