Week,Forecast_Units,Forecast_Lower,Forecast_Upper
2010-02-01,48683392.8463974,46952721.429570235,50307484.94767174
2010-02-08,48866550.1750702,47196823.76333766,50608823.106320284
2010-02-15,48643080.90000806,46949173.89354644,50327364.97840498
2010-02-22,44521561.22597521,42848645.42880303,46210270.79352233
2010-03-01,47372866.3658367,45670593.94011802,49120306.42703624
2010-03-08,45801919.76932842,44237865.94302328,47382328.11866147
2010-03-15,45621789.59225687,44029567.626767166,47386066.683498204
2010-03-22,43517980.01388382,41972216.88962511,45281632.46654179
2010-03-29,47717614.76525068,46089210.775169484,49238728.136270545
2010-04-05,48640654.48792687,46965535.87019205,50233804.58383066
2010-04-12,44929583.02029708,43272992.70531698,46653279.14969653
2010-04-19,46258976.014100716,44526276.03209706,47952870.337224655
2010-04-26,43215365.058730505,41515377.036822066,44921946.69859244
2010-05-03,48392530.1315838,46706025.447960995,50043663.97314671
2010-05-10,44723666.69180339,43079675.227279335,46404368.77562471
2010-05-17,46135600.181936,44413369.769801505,47795212.06784628
2010-05-24,46237468.17737267,44427025.45126695,47860895.20298183
2010-05-31,49920875.829050176,48185408.529389255,51618736.81682426
2010-06-07,47152329.67152732,45478260.92256455,48791850.082391694
2010-06-14,48320798.09877986,46600657.210453786,50062033.71346698
2010-06-21,45249761.399056025,43573325.694457114,46915529.722535685
2010-06-28,48994965.265345186,47259127.64093518,50728542.109816656
2010-07-05,47324249.75566251,45549751.571642205,49007419.99447252
2010-07-12,46122847.11541813,44427784.85247971,47956215.05486697
2010-07-19,44009425.12955453,42229716.5060027,45572841.41903918
2010-07-26,44810884.03957939,43140683.133606054,46489438.231925905
2010-08-02,47112303.8942667,45519548.20148818,48839153.94220487
2010-08-09,46629795.957603484,45022288.791578054,48310670.22182508
2010-08-16,46236517.913969465,44613145.12400908,47838991.79590293
2010-08-23,46792060.620751895,45122207.48534962,48458872.75790605
2010-08-30,45633032.585174486,43910221.96689038,47451915.719882555
2010-09-06,46662688.09149847,44948517.14321483,48372856.99709605
2010-09-13,42002676.962108254,40227054.631218135,43785220.407641895
2010-09-20,43081693.19253905,41417172.14106906,44792756.78201973
2010-09-27,41640673.497750536,39927364.57580887,43183382.27470577
2010-10-04,47362214.29228971,45773082.68020011,49193714.49537919
2010-10-11,42110040.11491102,40446500.1849828,43813847.54601175
