Week,Forecast_Units,Forecast_Lower,Forecast_Upper
2010-02-05,56989596.0260316,51971489.28534758,61480212.03572817
2010-02-12,57583858.36163008,52967654.816438794,62065196.58991878
2010-02-19,55807832.78214045,51585875.65285394,60711768.100613594
2010-02-26,53849613.961139925,49130682.74966611,58192921.5829969
2010-03-05,52649987.016381696,48260664.05679418,57174760.82786048
2010-03-12,51767104.98614774,47190693.08619307,56474087.749123976
2010-03-19,50800470.820888065,46244184.32328823,55512111.13451949
2010-03-26,50112655.14379949,45566195.09053989,54215428.989274085
2010-04-02,50067502.48431482,45116375.628036804,54599145.3191994
2010-04-09,50179279.28011657,45471486.55601062,54448350.86820747
2010-04-16,49559269.539464466,44714725.6257864,53972073.925235525
2010-04-23,48109522.12700535,43294253.73658086,52959929.192557395
2010-04-30,46800895.36386423,42294566.41868798,51467414.64614209
2010-05-07,46568512.893328115,41941204.390851445,51099432.0581593
2010-05-14,47206381.63250309,42645349.5162959,51680136.30535848
2010-05-21,47664990.82457809,43004108.1008937,52011725.601968795
2010-05-28,47340626.59939522,42905196.70368101,52045641.16592446
2010-06-04,46696432.522142164,42392690.85783467,51101815.75401023
2010-06-11,46481082.62795829,41777463.91400303,51277412.12964619
2010-06-18,46645495.49317971,41748146.739443384,51380639.34154773
2010-06-25,46392477.020258896,42055811.15284456,50981592.53550849
2010-07-02,45251367.49732324,40893677.65939019,49922354.332213886
2010-07-09,43734149.55295088,39505855.59013098,48757440.15412635
2010-07-16,42740177.217608616,38294444.647496186,47291510.41433515
2010-07-23,42550427.903352946,38321936.02965383,47309402.54690238
2010-07-30,42727937.528397046,38159032.90645069,47152161.80270601
2010-08-06,42929515.456027545,38379414.09730202,47346314.53381581
2010-08-13,43378264.77908035,38886756.3301806,47616710.05802787
2010-08-20,44290789.29863068,39713638.30213521,48597630.24579322
2010-08-27,45139618.388532974,40445530.20228299,49774515.78910797
2010-09-03,45003741.01734227,40462381.38292567,49875724.29775859
2010-09-10,43773802.723960824,39323025.58362917,48490516.901727855
2010-09-17,42608916.9705601,37853253.86684463,47059901.32487392
2010-09-24,42795276.18488878,38132269.60916278,47102112.12319315
2010-10-01,44249250.152192965,39983048.947329246,48731162.2722971
2010-10-08,45588082.2516041,41144286.97690176,49863275.86632511
2010-10-15,45847333.408173226,41421035.434035234,50472554.410399236
2010-10-22,45767470.73796846,41264833.69483626,50180546.75505417
2010-10-29,46959658.51536919,42502071.29887616,51448624.96613291
2010-11-05,49912864.822920345,45263431.06381123,54189608.26440358
2010-11-12,53397278.37840097,48868964.66807056,57820784.23640287
2010-11-19,56140936.830288894,51753757.00606154,60787683.83047866
2010-11-26,58638869.04013332,54212329.515746705,63250926.15123849
2010-12-03,62493079.12870018,58089774.827129096,67128172.63618354
2010-12-10,67694395.17159969,63371015.68196095,72508078.92623098
2010-12-17,71195941.62704782,66493644.5829398,75779548.33969343
2010-12-24,71671063.53654897,67341970.03742395,76214790.62366572
2010-12-31,63456205.270545475,59293758.919622324,68223901.29506032
2011-01-07,50738377.538521856,46186786.1490636,55556184.656678885
2011-01-14,44493751.57108793,40180901.77604467,48955076.769854635
2011-01-21,44956448.80418526,40217884.4195817,49650752.82985133
2011-01-28,49805946.121530294,45082305.44297081,54274674.90214629
2011-02-04,54297578.00747928,49752129.991265655,58863679.93555391
2011-02-11,55505766.44397767,51124236.51521695,60006008.91378875
2011-02-18,53985146.8506931,49733324.13985624,58366297.94428421
2011-02-25,51937838.4799582,47683438.33527506,56350695.50125092
2011-03-04,50611201.696582094,45887750.938436426,55077000.57770923
2011-03-11,49721133.986200735,45037982.521175526,54293060.07442216
2011-03-18,48761471.01906904,44479645.46191295,53338631.250094086
2011-03-25,47981111.56584781,43439210.253084175,52586575.762602
2011-04-01,47829552.24427542,43596972.86450197,52711965.057735234
2011-04-08,47982751.22833578,43100506.88845938,52544225.11159397
2011-04-15,47536168.26415407,42894035.84812336,52087027.38185861
2011-04-22,46185562.36834737,41857799.40960373,50489894.81800465
2011-04-29,44762351.03632535,40133090.104965895,49380089.57530001
2011-05-06,44314333.67382357,39669077.98579332,48694448.63815768
2011-05-13,44864843.82936417,40192491.26967064,49432935.2447262
2011-05-20,45428896.1254775,40858112.457480155,50112048.43986901
2011-05-27,45237841.095118105,40607269.26845492,49769895.23399578
2011-06-03,44586724.82423128,40179536.34265279,49045743.266870774
2011-06-10,44267366.69776085,39568795.52028844,48780323.920643985
2011-06-17,44412324.746402174,39966353.37038065,49236734.22606522
2011-06-24,44292988.56944695,39647210.71736029,48761642.220148884
2011-07-01,43300223.71201132,38711889.68124874,47881280.00197973
2011-07-08,41780285.98597954,37641372.9347038,46208640.146444164
2011-07-15,40645676.80917995,36159291.84309591,45142186.42342548
2011-07-22,40331783.156443775,35667735.58368059,44677123.30006432
2011-07-29,40483472.8394501,35763430.3470622,44956958.08402571
2011-08-05,40678617.65552612,36357620.91726395,45369007.93675398
2011-08-12,41054193.5971773,36498143.334276065,45117549.824531674
2011-08-19,41897629.05762827,37182191.4847918,46076139.42121797
2011-08-26,42828566.816929184,38281162.09142452,47483960.9239882
2011-09-02,42914850.07763015,38519706.2574463,47317976.192385
2011-09-09,41825137.193234906,37442314.419031724,46524988.91935258
2011-09-16,40534381.89171561,35838319.83271993,45106026.52452532
2011-09-23,40434469.384590134,35980444.92532239,45019227.07451037
2011-09-30,41743085.231270626,37466092.800051406,46272584.97393731
2011-10-07,43211592.14643711,38755792.042799346,47702548.90514187
2011-10-14,43660724.30952621,39216019.597686835,48214715.298119545
2011-10-21,43522093.64868142,39050251.37320437,48320250.54647467
2011-10-28,44396857.233068824,39575031.47830365,49431320.03743917
2011-11-04,47087880.986229725,42611728.82092031,51541420.395088285
