Week,Forecast_Units,Forecast_Lower,Forecast_Upper
2010-02-01,57820418.697848625,56399142.532378025,59367478.1654859
2010-02-08,59020166.81276494,57367200.25547888,60465299.08587826
2010-02-15,57027274.60149435,55503275.68497031,58544425.51556636
2010-02-22,53848707.46066872,52330029.38667263,55363789.783648655
2010-03-01,55626286.573718786,54193950.9115581,57066143.94163274
2010-03-08,53000018.26289913,51403461.03570274,54439361.99132178
2010-03-15,51070200.86611736,49532050.92993118,52553303.92611948
2010-03-22,50455951.14623093,48941572.98074766,51933740.84417301
2010-03-29,54107593.766643435,52517382.99406518,55610299.19937335
2010-04-05,53023923.074200414,51521540.3236233,54515760.69478456
2010-04-12,50172903.71570258,48736604.12823304,51669852.906218514
2010-04-19,50895225.04713088,49588318.15102218,52524339.96889202
2010-04-26,47789207.64875726,46368078.33770548,49298652.171356894
2010-05-03,52221616.835018665,50680078.29174355,53731060.04695566
2010-05-10,49210924.88667749,47773257.05996469,50660099.05786767
2010-05-17,49499003.890406385,47988509.79362216,51027852.006387495
2010-05-24,50156035.42571824,48671907.530903086,51733380.995648146
2010-05-31,53684345.05845363,52150125.41601115,55129622.89701609
2010-06-07,49889872.5372579,48539134.7320597,51315798.90617046
2010-06-14,50631865.231082164,49042641.67809374,52179599.59044093
2010-06-21,48016192.29208995,46434302.06799872,49634834.016683444
2010-06-28,51562683.34783766,50040400.49603461,52984730.62871227
2010-07-05,48166498.47679846,46641763.91392651,49584150.35900196
2010-07-12,48466546.86517159,46788436.12831263,49968575.49674734
2010-07-19,45210722.57960499,43752127.54682002,46735740.28628199
2010-07-26,46983111.428407446,45447207.74096607,48470477.85412486
2010-08-02,48420872.27280264,47043004.82161822,49990581.57055269
2010-08-09,48749065.77810762,47322090.98444407,50155004.16016142
2010-08-16,47546897.911129564,46204414.40215947,49050024.17650206
2010-08-23,49494935.44342597,47969531.4365414,50919329.284843855
2010-08-30,48245796.51909431,46737001.92268267,49828938.275400415
2010-09-06,49188407.84553582,47686176.6018852,50703838.81696992
2010-09-13,44162451.4897844,42780020.708813734,45757340.11616168
2010-09-20,46446571.85685811,44800076.665232226,47878688.108211465
2010-09-27,44167398.178080305,42592372.07494697,45633260.23780978
2010-10-04,49987172.95105984,48518530.87083244,51467789.0157276
2010-10-11,45836301.911921754,44291279.02537533,47288680.69074091
2010-10-18,49186747.99682427,47509311.345326655,50675529.203488305
2010-10-25,46931612.44350667,45551030.54469165,48548043.83007935
2010-11-01,53978225.52329846,52466264.42589179,55388248.79161659
2010-11-08,49781111.641639784,48316510.420462534,51384046.90650582
2010-11-15,53722299.98312728,52206674.55833832,55141282.38758785
2010-11-22,70233300.69482374,68759005.11435285,71777156.2574173
2010-11-29,57139387.558897585,55687773.55479983,58735760.23773074
2010-12-06,61504026.21221718,60043171.399018206,63089534.83120723
2010-12-13,70392749.40477195,68928921.25023271,71798220.44859387
2010-12-20,84572138.7574951,83022256.95786397,86122005.54166521
2010-12-27,48386062.50395089,46890956.5661614,49903791.92553784
2011-01-03,48099044.238145344,46589066.018862195,49615439.98798235
2011-01-10,47070104.16392846,45618653.613421194,48541928.16210851
2011-01-17,45447496.09559043,44014547.61914421,47005432.2549677
2011-01-24,45249624.34236303,43820912.334734924,46714442.08527798
2011-01-31,51837366.2235533,50324220.273300394,53298658.082800835
2011-02-07,54210238.03797518,52770975.05683388,55687359.34849109
2011-02-14,51819478.01562625,50344754.26920931,53311510.4048859
2011-02-21,48818303.18395448,47310641.43487775,50348449.37227465
2011-02-28,49785839.07983536,48262369.61040486,51454974.61346993
2011-03-07,49382657.804009184,47890085.85697149,50943888.50911318
2011-03-14,47404973.911674514,45922462.901135795,48887064.35301772
2011-03-21,46470774.48589219,44908026.73192505,47978017.401202194
2011-03-28,46783784.42469968,45258587.06827145,48358115.0807994
2011-04-04,50491519.23644051,48945574.659368955,52040169.26901362
2011-04-11,44854515.205428,43265399.64287501,46311091.934432864
2011-04-18,47623683.33854299,46166351.07848829,49222542.22713209
2011-04-25,42875694.849828325,41447845.849720396,44345162.60134608
2011-05-02,48525827.79044566,47054832.62975284,50085193.99120647
2011-05-09,44599440.79620344,43154262.76274922,46118406.255398385
2011-05-16,45000376.8468826,43459404.401775055,46582665.02455062
2011-05-23,44703349.216944456,43254438.15435626,46303904.29833164
2011-05-30,48535804.71151491,46967945.166050375,50132045.80613452
2011-06-06,45758566.232998416,44335943.4198595,47392906.4272288
2011-06-13,47487950.19164163,46002372.6581066,48912502.96018354
2011-06-20,43658694.78242927,42248406.56134383,45220147.152929716
2011-06-27,45898531.34276544,44243748.033574685,47345289.73442653
2011-07-04,45602318.50548435,44157508.2031361,47219100.99361003
2011-07-11,43847004.93479675,42327632.970067665,45476796.6987882
2011-07-18,42025049.19167216,40548673.655435115,43443194.78982658
2011-07-25,41715108.91277711,40217151.72782074,43227089.241717175
2011-08-01,44803538.932551414,43223833.2037224,46316278.57643057
2011-08-08,44231858.31838523,42752115.21354818,45692868.792396046
2011-08-15,43395452.340960085,41915130.988198996,45040790.68033522
2011-08-22,45195671.88524428,43625953.71534871,46657333.26283661
2011-08-29,43026319.09400401,41520388.66899362,44621254.006355464
2011-09-05,45104910.68545941,43646450.54344666,46577477.37332529
2011-09-12,41826817.17321796,40417941.34321034,43357724.45634471
2011-09-19,41793612.54701605,40236531.303579494,43345647.7971492
2011-09-26,40356088.96064925,38783495.996874556,41872084.31366361
2011-10-03,45857067.317851506,44271569.009902224,47358294.79582914
2011-10-10,42492822.883611076,40901988.95355014,43972779.21549135
2011-10-17,43843145.32497379,42201029.68574073,45385106.80783914
2011-10-24,42926462.41014848,41346570.31838343,44400817.567477725
2011-10-31,47613117.55170909,45976377.01635745,49096923.9204074
2011-11-07,47838456.23300514,46322818.17323239,49292521.67266341
