Week,Forecast_Units,Forecast_Lower,Forecast_Upper
2010-02-01,44849224.406877026,39349560.98569339,50261735.484003656
2010-02-08,46144852.97491996,40920128.768431365,51534649.987580776
2010-02-15,47117073.86097704,41572783.576741815,52106008.00856149
2010-02-22,48729985.748538256,43572084.51573425,54418012.563054465
2010-03-01,49243339.357345104,43760285.20954479,54774512.56283503
2010-03-08,49084038.95679267,43568491.83926806,54489179.70930917
2010-03-15,48420923.132384636,42816373.26067003,53978182.53066082
2010-03-22,47561116.0264224,41855255.84458251,52855245.66805517
2010-03-29,46833287.808998495,41604397.147168934,52032725.39460789
2010-04-05,46479519.16841441,41156626.61211134,51651685.26183744
2010-04-12,46589619.26132741,41463357.79123004,51858721.87144287
2010-04-19,47094390.008449964,41913311.68605217,52297616.23603318
2010-04-26,47812889.36538614,41812951.782608874,52927465.14079806
2010-05-03,48530827.004706405,43434882.81029054,53808385.6641412
2010-05-10,49078780.12316173,43949904.549510404,54228210.7941236
2010-05-17,49382246.21136923,44035954.07550499,55180130.1837715
2010-05-24,49468660.27725865,43968706.198507294,54963516.459592566
2010-05-31,48952852.7716354,43702481.32516301,54233146.352549285
2010-06-07,49386847.44896995,44288948.1111451,54660899.962260224
2010-06-14,49394914.78934468,44121859.136589065,54424208.38527257
2010-06-21,49456534.6931636,43975412.30941837,54728041.205276474
2010-06-28,49507544.11396369,44221182.00369468,54597559.1757812
2010-07-05,48977785.5897257,43470922.87784834,54113455.92671673
2010-07-12,49247375.30224699,43804658.42111967,54615586.44822021
2010-07-19,48875054.444328025,43571368.23676616,54618189.92577208
2010-07-26,48419789.18758234,43254859.5846784,53638841.301421024
2010-08-02,48008405.94449471,42596562.842709385,53097828.64815003
2010-08-09,47762474.20779679,42402918.03695829,53024021.0527206
2010-08-16,47738206.86146706,42431943.4795947,53057105.585565515
2010-08-23,47887010.27593459,42631795.64029563,52908516.10808223
2010-08-30,48057215.52729179,42691116.77682289,53232881.69624601
2010-09-06,47561523.8452589,42277030.45550559,52611276.872108534
2010-09-13,47665393.56449162,42496275.06161275,53572184.9180618
2010-09-20,46863955.07326857,41646034.54769342,51866073.94730693
2010-09-27,45753693.00850829,40364688.85680602,50770532.96640108
2010-10-04,44630695.36977088,39057000.56963543,50066089.47063104
2010-10-11,43428095.359687775,37938181.38285327,48917732.89876656
2010-10-18,44005112.996931165,38745111.560001835,49709669.45051636
2010-10-25,45197619.24406311,39386438.0273507,50308383.74898287
2010-11-01,47514509.8938811,41983963.43020647,53023761.21520042
2010-11-08,50680071.179875925,45266871.18130186,55805283.389540434
2010-11-15,54149884.71148872,48680270.44452486,59393664.22372799
2010-11-22,57229291.617522895,52150930.704780504,63031657.57798056
2010-11-29,59245822.53709896,53667841.41025038,64090543.93944455
2010-12-06,59727207.565906644,54338787.20618863,65304754.88369637
2010-12-13,58532573.946841635,53296758.60309068,64279292.28416817
2010-12-20,55896839.196011774,50353978.67435566,61110989.74534777
2010-12-27,52373543.978699796,47303775.39052967,57786306.781473845
2011-01-03,48691618.99813926,43480306.317560375,54253183.744996846
2011-01-10,45567296.32287374,40306746.536224306,51221367.561358884
2011-01-17,43044258.89764243,37464700.8556445,48057849.1646408
2011-01-24,42780648.61795285,37445991.801343516,47564616.93917307
2011-01-31,43210116.146948285,37895013.41087392,48497281.28696759
2011-02-07,44420472.74557086,38632982.07488643,49782350.87239993
2011-02-14,45884397.342699096,40886167.57281353,50938352.11650063
2011-02-21,46620697.68338913,41259937.91767914,51570186.26449038
2011-02-28,47736792.5877816,42841491.47788422,52804440.85490478
2011-03-07,47690842.6243563,42096497.49203437,52998665.515046746
2011-03-14,47097695.56621966,42171092.91641982,52944382.270664945
2011-03-21,46247952.69536452,40891700.464543775,51243494.946916424
2011-03-28,45475132.85396595,40197929.914168395,50564955.13781132
2011-04-04,45043155.551719874,39588054.734660074,50485941.876456246
2011-04-11,45071270.91328797,40116381.969224185,50392487.59177581
2011-04-18,45516546.987052366,40058692.68786381,50503026.150613725
2011-04-25,46212749.41725052,41106442.62511969,51443146.44518799
2011-05-02,46945383.93639245,41707970.7735966,51902542.92534538
2011-05-09,47532243.35952977,42246731.66763813,52849546.27908635
2011-05-16,47880052.99931542,42644630.04322521,53366674.88587205
2011-05-23,47999492.013454095,42654440.5614293,53050066.69616989
2011-05-30,47496919.26059811,42462432.78730844,52629859.56490082
2011-06-06,47926439.58226159,42392728.08008839,52830119.50272734
2011-06-13,47922649.42339032,42566707.06824484,53257437.19813961
2011-06-20,47977965.35869284,42642247.77858793,53038594.208099514
2011-06-27,48037332.36218884,43041672.87804771,53411311.648450404
2011-07-04,47531393.79132515,41740103.561918326,52906258.34024869
2011-07-11,47832150.21433189,42206778.39302509,53121014.39904841
2011-07-18,47484863.249519125,42241220.799604625,52874713.174321994
2011-07-25,47035919.57137467,41631199.56411541,52469946.518131904
2011-08-01,46606805.90070889,41110211.865218885,52194394.16218019
2011-08-08,46324619.13096088,41003734.98728415,51764608.25665731
2011-08-15,46261062.99608347,41491958.956914365,51663704.45978087
2011-08-22,46387496.28230186,41047418.86713293,51705073.18242181
2011-08-29,46568379.78514543,41249787.55914463,51864449.86036288
2011-09-05,46120762.46453127,41171551.4199529,51435679.682569996
2011-09-12,46298312.45893393,41154661.83435296,51906640.385431394
2011-09-19,45569677.51929412,40369981.71653216,51185084.94057387
2011-09-26,44497610.359438285,39510489.33658234,50026664.72811144
2011-10-03,43348618.69575694,38173080.23431119,48870525.3265849
2011-10-10,42042062.44786932,36523877.228533916,47159619.25507265
2011-10-17,42446951.50156835,37038324.251805246,47909536.6162334
2011-10-24,43433211.74827723,37851407.989058495,49120543.75334973
2011-10-31,45560731.13992915,40445110.92021508,51285991.291086145
2011-11-07,48608056.04279482,43575208.73760442,54228543.98425953
2011-11-14,52072225.95103314,46777808.15532496,57348870.29311775
2011-11-21,55273757.18460869,49414332.27374562,60484519.071932346
2011-11-28,57522613.57499257,52291695.58948524,62739181.08239666
2011-12-05,58299166.783367,52944229.65312354,63611095.21553495
2011-12-12,57397246.30510816,52101602.71747473,62867163.453883894
2011-12-19,54985961.612239644,49925324.39584393,60706327.04720127
2011-12-26,51089246.88898407,45982014.75961908,55823507.25314616
2012-01-02,47380204.338511705,41573795.3820706,52624269.57144945
2012-01-09,44591440.76774754,39700738.00962432,49944034.80166149
2012-01-16,41849501.595432594,36451525.688257664,47060103.90261715
2012-01-23,41353925.69717689,35801675.42890311,46746637.09129381
2012-01-30,41596262.549885824,36362578.77709744,47140566.98237369
2012-02-06,42704099.54498561,37546287.49346452,48016810.9052455
2012-02-13,44162263.045422986,38517943.39054687,49517667.12480231
2012-02-20,44973349.406296946,39592305.28172576,50203361.26667788
2012-02-27,46207912.31977995,41069802.50157082,51197072.07181484
2012-03-05,46279780.46260413,40571749.78460689,51631327.068800114
2012-03-12,45766176.55122472,40623474.977381594,51135260.00463154
2012-03-19,44937435.43884377,39385355.87945552,50255723.227545604
2012-03-26,44128240.04012483,38921141.52646697,49658053.36392752
2012-04-02,43621901.20724027,37822543.869230285,48803113.71201395
2012-04-09,43566555.40759321,38097559.270767726,48719339.31312957
2012-04-16,43946831.78561701,38582579.68046271,49369713.425323784
2012-04-23,44613679.70705394,39409068.59708615,49928086.629617415
2012-04-30,45355048.83837211,40013613.887747,50619830.11524362
2012-05-07,45977801.4802676,40669591.8263706,51268380.27944628
2012-05-14,46370370.66568782,40790110.719661206,51753947.75112692
2012-05-21,46525772.32372648,41092759.86910077,51754243.060899705
2012-05-28,46040114.29394648,40718368.68246285,51599112.68437015
2012-06-04,46467742.170365766,41498973.150482014,51618085.95931216
2012-06-11,46452451.63752219,41271706.23157398,51672133.0711216
2012-06-18,46499616.841790706,40964906.6703857,51506280.196384616
2012-06-25,46564392.05130889,41145930.20223994,52059199.59671211
2012-07-02,46561029.58941845,41456708.96971099,51852619.560952
2012-07-09,46411393.4303357,41308534.31174367,51805424.94245613
2012-07-16,46091274.76849112,40770873.73980054,51468950.77552468
2012-07-23,45652664.12794826,40290723.820095494,51265614.10327329
2012-07-30,45210039.37607809,39788100.1266901,50420082.9429009
2012-08-06,44894007.82535633,39419473.647322305,50466739.57711812
2012-08-13,44790269.71149401,39654816.38682474,50110558.56514721
2012-08-20,44889902.8877617,40354258.24125091,50589644.63215195
2012-08-27,45074819.11997256,39646880.60471737,50418584.868234575
2012-09-03,44668980.47130802,39358147.389049284,50028005.08840511
2012-09-10,44917223.43236877,39779434.93249377,50251028.102873325
2012-09-17,44263949.121537484,39235916.62476418,49555257.451516524
2012-09-24,43238708.97515495,38070163.39246026,48452412.99168868
2012-10-01,42076785.755776726,37003622.94396399,47458254.890216336
2012-10-08,40680211.32084548,35438406.35294727,46006049.19136611
2012-10-15,40923295.3769465,35699135.43738265,45833809.68377736
2012-10-22,41705998.68846896,36634445.947914034,46861812.29825439
2012-10-29,43637037.93230179,38041721.53223928,48555782.16690311
2012-11-05,46549809.07263297,41366319.383937046,51998523.608140685
2012-11-12,49505070.448535375,44122040.361387946,55052335.00195699
2012-11-19,53287392.05636981,47623897.62126744,58603632.11726489
2012-11-26,55751620.56603603,50601766.86742317,61405984.86785124
2012-12-03,56816601.41872294,51482161.536789335,62650006.19078242
2012-12-10,56212891.30061495,50911516.31040798,60995309.474404536
2012-12-17,54042511.28688517,48853489.67393842,59502723.820031725
2012-12-24,50757843.26037099,45747483.67407016,56020136.47070367
2012-12-31,47045537.48437338,41491724.236152604,52249821.42516991
2013-01-07,43648554.35454794,37641801.5565344,48845129.2273359
2013-01-14,41177752.60702341,35735637.70662538,46807044.232716486
2013-01-21,39485690.78634779,33877510.935909815,44510064.91649592
2013-01-28,40010434.9889146,34460418.13518345,45408134.20957804
2013-02-04,40998893.85262722,35738964.223558374,46191871.08580661
2013-02-11,42434447.87925556,36914436.95858125,48012281.15925968
2013-02-18,43308198.221091054,37879801.55072221,48685269.3734182
2013-02-25,44656658.39793679,39293142.138781816,49736455.12638224
2013-03-04,44849584.04789522,39721385.873647355,50249859.97482534
2013-03-11,44424440.70871206,39058338.28453401,49715757.65211772
2013-03-18,43627684.88802751,38436609.12110905,49169761.089718655
2013-03-25,42791372.067277856,37267527.08297399,48443241.965208486
2013-04-01,42215469.19443944,36495847.01080901,47328395.34839331
2013-04-08,42076089.02702464,36749632.26161916,47042211.71006471
2013-04-15,42386420.25203541,37163203.222764626,47838696.58161399
2013-04-22,43016930.12786727,37789739.92793481,48407417.21041605
