Week,Forecast_Units,Forecast_Lower,Forecast_Upper
2010-02-01,49003527.86055283,44390995.21563033,53619701.0354523
2010-02-08,49761619.44305849,45146287.53006075,54214153.82380198
2010-02-15,48173818.94783087,43433478.642168865,52865608.48018053
2010-02-22,47294979.87666905,42365445.685794376,51676850.235934444
2010-03-01,47181250.83866464,42620002.466445446,51777605.75079785
2010-03-08,47260686.29965881,42972647.329133414,51870098.74764068
2010-03-15,46949001.59897269,42530805.13572581,51470533.32634375
2010-03-22,46798754.158015355,42030862.00742647,51311080.31535301
2010-03-29,47477154.438026235,42966224.807638295,52081217.85191637
2010-04-05,48513191.169633135,43999979.949362785,52994800.55062822
2010-04-12,48695949.63290059,44163870.4734297,53267112.17003961
2010-04-19,47647074.35056272,42762791.45397274,52259098.858011395
2010-04-26,46456793.61648337,42022019.74311821,50931467.27694834
2010-05-03,46485064.56078538,41808395.34302373,50955056.267011866
2010-05-10,47810626.356554076,43358987.67339788,52294927.36440139
2010-05-17,49238867.87947743,44643551.43173554,53691066.73054233
2010-05-24,49769356.0322411,45346099.19385162,54465765.30228471
2010-05-31,49395197.77677743,45164291.8782251,53982198.61266797
2010-06-07,49706394.211686924,45278776.13913603,54317357.83912249
2010-06-14,50208900.943061545,45750483.95167317,54926309.05909098
2010-06-21,50456605.83047694,45696916.61108605,54758119.0459599
2010-06-28,49856892.2816998,45283627.158081554,54318552.52381589
2010-07-05,48507653.18300617,44060916.79138042,53019193.44008424
2010-07-12,47970001.18491217,43600076.56802666,52412025.3278461
2010-07-19,47854863.48165145,43534273.033823095,52406115.47670894
2010-07-26,48010247.08644872,43732774.2412959,52453121.791015275
2010-08-02,48104931.81079468,43698977.00302013,52559331.49427007
2010-08-09,48384154.3013667,43818967.95152626,52793311.745648645
2010-08-16,49089287.743245564,44523362.43014274,53472127.2783773
2010-08-23,49643539.30335494,45132110.45971238,54079869.59976213
2010-08-30,48999496.5776665,44300201.794470005,53080388.02195351
2010-09-06,46753570.07329252,41837110.2751853,51039316.792376116
2010-09-13,44940096.848288715,40306215.65985413,49346457.02171641
2010-09-20,44404550.21806494,40007497.26555938,48999074.43567528
2010-09-27,45415225.98431802,40946760.6593919,50006754.68739542
2010-10-04,46381695.534114175,42167264.362385385,50966604.07554486
2010-10-11,45773585.635454066,41549966.89949683,50406348.99296538
2010-10-18,44969134.93252964,40533249.05771172,49314701.44636395
2010-10-25,45127708.40197407,40880948.82345732,49406952.115349956
2010-11-01,47281784.69628609,42855583.78545719,51645427.84768137
2010-11-08,50179436.563950315,46077314.38247243,54498569.554451644
2010-11-15,52232446.742755204,47747242.40383205,56571316.350090615
2010-11-22,53743136.378943615,49225430.37493773,58214216.67618997
2010-11-29,56553317.88217971,51746988.102646366,61400493.02131539
2010-12-06,61129359.28268362,56663981.56700678,65583567.79105598
2010-12-13,64627451.7956684,60155902.84597066,69249362.77566236
2010-12-20,62879274.33500169,58339415.005946204,67190489.78216021
2010-12-27,54766628.4539001,50082448.94687607,59160839.43376287
2011-01-03,44264206.997178994,39724108.21618742,48675719.402548574
2011-01-10,37525237.66306044,32981317.5566442,42182789.17005826
2011-01-17,37431774.674101725,32976932.050651193,41774101.72178015
2011-01-24,42478576.62736746,38273566.503736906,46811862.49227103
2011-01-31,47055907.805640854,42618101.067830645,51609871.796821274
2011-02-07,48405721.648956254,43689498.02736466,52668143.72963527
2011-02-14,47248438.17942959,42701769.42883426,51436593.59680814
2011-02-21,45730092.0599249,41508664.46400584,50083085.75361804
2011-02-28,45710716.38753325,41559446.64006995,50704648.57859603
2011-03-07,45828794.20235731,41703935.1434005,50324495.660139166
2011-03-14,45574769.98312354,41235288.051297,49728308.02540182
2011-03-21,45327988.967452936,40701490.57645607,49684116.58934999
2011-03-28,45853733.58039179,41413819.35177973,50304437.79681355
2011-04-04,46912564.27579968,42278029.0304455,51526273.88559349
2011-04-11,47318632.12221963,42921329.01268835,52043434.203715116
2011-04-18,46445292.71193617,41940931.20084041,51220293.75140171
2011-04-25,45163508.93935515,40627478.05402387,49596005.3025122
2011-05-02,44919674.1683293,40717190.461878255,49743610.04377414
2011-05-09,46079501.665664315,41861408.17423308,50443694.46786658
2011-05-16,47590115.45451559,43304764.85842968,51803702.21809209
2011-05-23,48300957.759017736,43658660.455219194,53205968.3188517
2011-05-30,47981942.957527004,43414771.51574641,52580144.92958636
2011-06-06,48208458.06087397,43714919.90130088,52801171.1221144
2011-06-13,48666702.18854669,44639247.85726979,52971135.752353035
2011-06-20,49022747.19918227,44403614.789668165,53449836.35532924
2011-06-27,48578504.643525586,43934279.08686531,52879231.83158823
2011-07-04,47258951.10391798,42931798.977957286,51592741.485367
2011-07-11,46612721.76710665,42597056.23346947,51423306.71688457
2011-07-18,46394323.22182094,41710826.52937515,50901746.80521873
2011-07-25,46539779.719538294,42052935.30609515,50449444.27764315
2011-08-01,46642337.26255185,42468937.51417122,50822681.634174526
2011-08-08,46856950.47813901,42464688.47246634,51461496.2032282
2011-08-15,47500313.67882365,43163003.53341786,51872269.02327686
2011-08-22,48160513.10524517,43643755.47476075,52837664.49325481
2011-08-29,47785481.18295696,43327357.26032163,52065219.398679376
2011-09-05,45722791.19858016,41090480.04806257,50242204.787916906
2011-09-12,43783147.967989214,39243694.19828547,48040652.796023905
2011-09-19,42914876.88390894,38511741.09979149,47067642.10087233
2011-09-26,43737000.15240201,39382053.61062084,48152551.15269559
2011-10-03,44846008.77486674,40156625.14486967,49289617.19751369
2011-10-10,44490274.777532294,40081249.06139057,49029376.6648455
2011-10-17,43675368.92256693,38848094.754831895,47700540.949664705
2011-10-24,43501796.36596355,38737566.54782414,48073043.71270516
2011-10-31,45341434.42250824,40536592.80478085,49963360.30399868
2011-11-07,48249217.49423696,43877193.0074837,52878830.73186835
2011-11-14,50501019.26252436,46152036.86427903,54568923.76212345
2011-11-21,51987476.83158982,47745356.941311106,56452073.71263479
2011-11-28,54448936.62647167,50131028.73260258,58908604.2154653
2011-12-05,58824172.185622305,54496410.09371489,63371631.55646149
2011-12-12,62837506.744267166,58703772.37747977,67213590.07223351
2011-12-19,62249115.7246415,57732785.35109815,66622291.05735885
2011-12-26,54878287.64868512,50605221.19494249,59177543.053634964
